TF_Symbol	TF_Entrez_ID	PubMed_ID	Database	Status
ACTRT1	139741	28869610	PubMedQuery	curated
AGT	183	24695083	PubMedQuery	curated
AHR	196	17900530	CytReg	curated
AHR	196	21104991	CytReg	curated
AHR	196	18289803	CytReg	curated
AHR	196	12801909	HTRIdb_LC	curated
AHR	196	17900530	InnateDB	curated
AHR	196	26944194	PubMedQuery	curated
AHR	196	23994556	PubMedQuery	curated
AHR	196	22531821	PubMedQuery	curated
AHR	196	21835898	PubMedQuery	curated
AHR	196	21104991	PubMedQuery	curated
AHR	196	20395535	PubMedQuery	curated
AHR	196	19559082	PubMedQuery	curated
AHR	196	19525444	PubMedQuery	curated
AHR	196	19154183	PubMedQuery	curated
AHR	196	18824009	PubMedQuery	curated
AHR	196	18289803	PubMedQuery	curated
AHR	196	17900530	PubMedQuery	curated
AHR	196	16192470	PubMedQuery	curated
AHR	196	15790560	PubMedQuery	curated
AHR	196	12801909	PubMedQuery	curated
AHR	196	20395535	TRRUST	curated
AHR	196	23994556	TRRUST	curated
AHR	196	19154183	TRRUST	curated
APEX1	328	14594818	TRRUST	curated
APOE	348	20511232	PubMedQuery	curated
AR	367	16467259	PubMedQuery	curated
ARNT	405	26837221	PubMedQuery	curated
ARNTL	406	26471974	PubMedQuery	curated
ARNTL	406	18587630	PubMedQuery	curated
ARNTL	406	14672706	PubMedQuery	curated
ARNTL2	56938	14672706	PubMedQuery	curated
ASCL1	429	28614915	ENdb	curated
ASCL1	429	24257627	ENdb	curated
ASCL1	429	11736660	HTRIdb_LC	curated
ASCL1	429	28614915	PubMedQuery	curated
ASCL1	429	25267614	PubMedQuery	curated
ASCL1	429	18760324	PubMedQuery	curated
ASCL1	429	17141158	PubMedQuery	curated
ASCL1	429	19191219	PubMedQuery	curated
ASCL1	429	23707066	PubMedQuery	curated
ASCL1	429	24682237	PubMedQuery	curated
ASCL1	429	23300791	PubMedQuery	curated
ASCL1	429	25753651	PubMedQuery	curated
ASCL1	429	16127999	PubMedQuery	curated
ASCL1	429	9435282	TRRUST	curated
ASCL1	429	19389376	TRRUST	curated
ASCL1	429	19542360	TRRUST	curated
ASCL1	429	24257627	TRRUST	curated
ASCL1	429	21435554	TRRUST	curated
ASCL1	429	11736660	TRRUST	curated
ATF2	1386	20178980	PubMedQuery	curated
ATF2	1386	20178980	TRRUST	curated
ATF4	468	22128141	PubMedQuery	curated
ATF4	468	19009586	PubMedQuery	curated
ATF4	468	18940792	PubMedQuery	curated
ATF4	468	12871976	TRRUST	curated
ATF4	468	22128141	TRRUST	curated
BATF	10538	26278622	PubMedQuery	curated
BCL11A	53335	24591644	PubMedQuery	curated
BCL11A	53335	23576758	PubMedQuery	curated
BCL11A	53335	22491945	TRRUST	curated
BCL11B	64919	23015591	TRRUST	curated
BMP2	650	16115867	PubMedQuery	curated
BMP2	650	19650108	PubMedQuery	curated
BMP7	655	22461901	PubMedQuery	curated
CBX5	23468	27916793	PubMedQuery	curated
CDH5	1003	18604199	PubMedQuery	curated
CDX2	1045	19782160	InnateDB	curated
CDX2	1045	28065741	PubMedQuery	curated
CDX2	1045	19782160	PubMedQuery	curated
CEBPA	1050	16674681	PubMedQuery	curated
CEBPA	1050	21689417	PubMedQuery	curated
CEBPB	1051	21689417	PubMedQuery	curated
CHD4	1108	23444401	PubMedQuery	curated
CLOCK	9575	22895791	PubMedQuery	curated
CLOCK	9575	18587630	PubMedQuery	curated
CLOCK	9575	17297441	PubMedQuery	curated
CLOCK	9575	14672706	TRRUST	curated
CREB1	1385	20685939	CytReg	curated
CREB1	1385	20156195	HTRIdb_LC	curated
CREB1	1385	24041570	InnateDB	curated
CREB1	1385	27835584	PubMedQuery	curated
CREB1	1385	27281481	PubMedQuery	curated
CREB1	1385	25607216	PubMedQuery	curated
CREB1	1385	25541153	PubMedQuery	curated
CREB1	1385	24041570	PubMedQuery	curated
CREB1	1385	23566437	PubMedQuery	curated
CREB1	1385	23517531	PubMedQuery	curated
CREB1	1385	23469012	PubMedQuery	curated
CREB1	1385	20685939	PubMedQuery	curated
CREB1	1385	20178980	PubMedQuery	curated
CREB1	1385	20156195	PubMedQuery	curated
CREB1	1385	19930465	PubMedQuery	curated
CREB1	1385	19861239	PubMedQuery	curated
CREB1	1385	19683536	PubMedQuery	curated
CREB1	1385	18819928	PubMedQuery	curated
CREB1	1385	17226765	PubMedQuery	curated
CREB1	1385	17124508	PubMedQuery	curated
CREB1	1385	16250013	PubMedQuery	curated
CREB1	1385	15527973	PubMedQuery	curated
CREB1	1385	22649236	PubMedQuery	curated
CREB1	1385	18424556	TFe	curated
CREB1	1385	7543410	TFe	curated
CREB1	1385	14754893	TFe	curated
CREB1	1385	12679364	TRRUST	curated
CREB1	1385	20178980	TRRUST	curated
CREB1	1385	20023170	TRRUST	curated
CREB1	1385	23185546	TRRUST	curated
CREB1	1385	18180320	TRRUST	curated
CREB1	1385	12871976	TRRUST	curated
CREB1	1385	9632793	TRRUST	curated
CREB1	1385	20587593	TRRUST	curated
CREB1	1385	17226765	TRRUST	curated
CREB1	1385	16250013	TRRUST	curated
CREB1	1385	22027994	TRRUST	curated
CREB1	1385	14754893	TRRUST	curated
CREB1	1385	23376217	TRRUST	curated
CREB1	1385	15527973	TRRUST	curated
CREB1	1385	20685939	TRRUST	curated
CREB1	1385	23469012	TRRUST	curated
CREB1	1385	17289023	TRRUST	curated
CREBBP	1387	22508984	PubMedQuery	curated
CSF1R	1436	16007221	PubMedQuery	curated
CTNNB1	1499	24692107	ENdb	curated
CTNNB1	1499	16007074	InnateDB	curated
CTNNB1	1499	27068063	PubMedQuery	curated
CTNNB1	1499	24692107	PubMedQuery	curated
CTNNB1	1499	20960542	PubMedQuery	curated
CTNNB1	1499	18429952	PubMedQuery	curated
CTNNB1	1499	16007074	PubMedQuery	curated
CTNNB1	1499	15592796	PubMedQuery	curated
CTNNB1	1499	15576399	PubMedQuery	curated
CTNNB1	1499	17360646	PubMedQuery	curated
CTNNB1	1499	10318916	PubMedQuery	curated
CTNNB1	1499	19561604	PubMedQuery	curated
CTNNB1	1499	17158875	PubMedQuery	curated
CTNNB1	1499	21772333	PubMedQuery	curated
CTNNB1	1499	19679347	PubMedQuery	curated
CTNNB1	1499	22615875	PubMedQuery	curated
CTNNB1	1499	17335794	PubMedQuery	curated
CTNNB1	1499	20599763	PubMedQuery	curated
CTNNB1	1499	18593980	PubMedQuery	curated
CTNNB1	1499	20571031	PubMedQuery	curated
CTNNB1	1499	16291872	PubMedQuery	curated
CTNNB1	1499	21636708	PubMedQuery	curated
CTNNB1	1499	25384422	PubMedQuery	curated
CTNNB1	1499	22961697	PubMedQuery	curated
CTNNB1	1499	21956839	PubMedQuery	curated
CTNNB1	1499	20372961	PubMedQuery	curated
CTNNB1	1499	20659708	PubMedQuery	curated
CTNNB1	1499	23417899	PubMedQuery	curated
CTNNB1	1499	19124064	PubMedQuery	curated
CTNNB1	1499	18602747	PubMedQuery	curated
CTNNB1	1499	22080605	PubMedQuery	curated
CTNNB1	1499	23326414	PubMedQuery	curated
CTNNB1	1499	25265064	PubMedQuery	curated
CTNNB1	1499	23736261	PubMedQuery	curated
CTNNB1	1499	19900401	TFactS	curated
CTNNB1	1499	19864427	TRRUST	curated
CTNNB1	1499	11940574	TRRUST	curated
CTNNB1	1499	12651860	TRRUST	curated
CTNNB1	1499	19900401	TRRUST	curated
CTNNB1	1499	17971297	TRRUST	curated
CTNNB1	1499	15576399	TRRUST	curated
CTNNB1	1499	15031118	TRRUST	curated
CTNNB1	1499	15592796	TRRUST	curated
CTNNB1	1499	17945188	TRRUST	curated
CTNNB1	1499	12810642	TRRUST	curated
CTNNB1	1499	20442281	TRRUST	curated
CUX1	1523	19015243	HTRIdb_LC	curated
CUX1	1523	22209758	PubMedQuery	curated
CUX1	1523	21672609	PubMedQuery	curated
CUX1	1523	19635798	PubMedQuery	curated
CUX1	1523	19332113	PubMedQuery	curated
CUX1	1523	19015243	PubMedQuery	curated
CUX1	1523	18765732	PubMedQuery	curated
CUX1	1523	18347061	PubMedQuery	curated
CUX1	1523	14597183	PubMedQuery	curated
CUX1	1523	19015243	TFactS	curated
CUX1	1523	11584018	TRRUST	curated
CUX1	1523	12438259	TRRUST	curated
CUX1	1523	19332113	TRRUST	curated
CUX1	1523	18356167	TRRUST	curated
CUX1	1523	7910552	TRRUST	curated
CUX1	1523	12665598	TRRUST	curated
CUX1	1523	11969263	TRRUST	curated
CUX1	1523	12101240	TRRUST	curated
CUX1	1523	12891711	TRRUST	curated
DDIT3	1649	18940792	HTRIdb_LC	curated
DDIT3	1649	18940792	PubMedQuery	curated
DDIT3	1649	18940792	TRRUST	curated
DLX1	1745	28821666	PubMedQuery	curated
DLX2	1746	28821666	PubMedQuery	curated
DLX5	1749	24692107	ENdb	curated
