DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID_Human	Target_Entrez_ID_Human	Species	Binding	Perturbation	Reporter	Primary	CNS	Cell_Line	Prenatal	Postnatal	TFBS	Mode	Experiments
tri_0860	PAX6	DKK3	5080	27122	both	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	both	both	exp_0444, exp_0445, exp_0446, exp_0447, exp_0448, exp_0449, exp_3486, exp_1098, exp_3487, exp_0443, exp_2015, exp_1099, exp_1100
tri_0847	PAX6	CRYAA	5080	1409	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	both	activation	exp_2742, exp_3278, exp_3281, exp_2745, exp_3279, exp_3280
tri_0838	PAX6	CRYAA2	5080	102724652	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	both	activation	exp_2742, exp_3278, exp_3281, exp_2745, exp_3279, exp_3280
tri_0837	PAX6	CDKN1B	5080	1027	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	distal	activation	exp_2811, exp_2812, exp_2813, exp_2814, exp_2815
tri_0873	PAX6	MET	5080	4233	human	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	activation	exp_1671, exp_1672, exp_1675, exp_1673, exp_1674
tri_0887	PAX6	NEUROG2	5080	63973	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	proximal	activation	exp_3779, exp_0632, exp_0634, exp_3780, exp_0633
tri_0844	PAX6	OLFM3	5080	118427	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	proximal	both	exp_2714, exp_3048, exp_2715, exp_3049, exp_2716
tri_0854	PAX6	ALDH3A1	5080	218	both	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	proximal	activation	exp_2976, exp_2290, exp_2973, exp_2974
tri_0855	PAX6	ATOH7	5080	220202	both	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	proximal	activation	exp_1615, exp_1617, exp_1616, exp_3065
tri_0833	PAX6	CDK6	5080	1021	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	unknown	repression	exp_3607, exp_3608, exp_3610, exp_3609
tri_0862	PAX6	HOXD4	5080	3233	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	distal	activation	exp_0740, exp_0741, exp_0742, exp_0743
tri_0872	PAX6	MAF	5080	4094	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	proximal	activation	exp_3399, exp_3401, exp_3402, exp_3400
tri_0876	PAX6	ODF2	5080	4957	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	proximal	activation	exp_3728, exp_3729, exp_3731, exp_3730
tri_0889	PAX6	SLC1A2	5080	6506	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	distal	activation	exp_1134, exp_1135, exp_1136, exp_1138
tri_0856	PAX6	TFEC	5080	22797	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	proximal	activation	exp_3488, exp_3482, exp_3483, exp_2013
tri_0885	PAX6	BCL9	5080	607	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	unknown	activation	exp_3711, exp_3713, exp_3712
tri_0861	PAX6	BCL9L	5080	283149	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	unknown	activation	exp_3714, exp_3716, exp_3715
tri_0836	PAX6	CDKN1A	5080	1026	mouse	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	activation	exp_2820, exp_2821, exp_2822
tri_0846	PAX6	Cdkn1c	5080	12577	mouse	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	activation	exp_2817, exp_2818, exp_2819
tri_0848	PAX6	CRYAB	5080	1410	mouse	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	activation	exp_3944, exp_2603, exp_3945
tri_0895	PAX6	FGF19	5080	9965	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	proximal	repression	exp_3484, exp_3485, exp_2014
tri_0859	PAX6	GIP	5080	2695	human	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	activation	exp_0140, exp_0142, exp_0141
tri_0871	PAX6	MAFA	5080	389692	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	distal	activation	exp_0924, exp_0925, exp_0926
tri_0834	PAX6	OLIG2	5080	10215	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	proximal	repression	exp_3367, exp_3369, exp_3368
tri_0877	PAX6	PAX2	5080	5076	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	distal	repression	exp_2420, exp_2422, exp_2421
tri_0880	PAX6	PCSK1	5080	5122	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	unknown	activation	exp_3029, exp_3031, exp_3030
tri_0864	PAX6	PDX1	5080	3651	both	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	unknown	exp_0619, exp_0617, exp_0618
tri_0884	PAX6	RLBP1	5080	6017	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	proximal	activation	exp_3394, exp_3396, exp_3395
tri_0888	PAX6	SIX3	5080	6496	mouse	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	unknown	activation	exp_2472, exp_2474, exp_2473
tri_0879	PAX6	SOST	5080	50964	mouse	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	activation	exp_1057, exp_1059, exp_1058
tri_0890	PAX6	SOX2	5080	6657	mouse	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	proximal	activation	exp_2932, exp_2934, exp_2933
tri_0874	PAX6	ASCL1	5080	429	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	repression	exp_3775, exp_3776
tri_0886	PAX6	DMRTA1	5080	63951	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	activation	exp_3781, exp_3782
tri_0852	PAX6	EMX2	5080	2018	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	repression	exp_3785, exp_3786
tri_0853	PAX6	EPHB1	5080	2047	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	repression	exp_3777, exp_3778
tri_0881	PAX6	FEZF2	5080	55079	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	repression	exp_3787, exp_3788
tri_0843	PAX6	FMNL2	5080	114793	human	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	unknown	activation	exp_2341, exp_2340
tri_0883	PAX6	G6PC2	5080	57818	mouse	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	unknown	exp_2618, exp_2619
tri_0849	PAX6	Gcg	5080	14526	mouse	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	unknown	activation	exp_2402, exp_2403
tri_0851	PAX6	GSX2	5080	170825	mouse	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	unknown	repression	exp_3789, exp_3790
tri_0865	PAX6	ITGA4	5080	3676	both	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	proximal	activation	exp_1370, exp_1369
tri_0841	PAX6	MAB21L2	5080	10586	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	unknown	repression	exp_3046, exp_3047
tri_0875	PAX6	MMP9	5080	4318	mouse	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	proximal	activation	exp_2415, exp_2416
tri_0878	PAX6	PAX6	5080	5080	mouse	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	unknown	unknown	exp_3773, exp_3774
tri_0882	PAX6	PROX1	5080	5629	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	unknown	activation	exp_3783, exp_3784
tri_0842	PAX6	SPAG5	5080	10615	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	unknown	activation	exp_3050, exp_3051
tri_0892	PAX6	TGFB2	5080	7042	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	unknown	activation	exp_3052, exp_3053
tri_0850	PAX6	VCAN	5080	1462	mouse	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	unknown	repression	exp_3044, exp_3045
tri_0835	PAX6	ANGPTL7	5080	10218	human	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	unknown	activation	exp_2294
tri_0839	PAX6	CDKN2A	5080	1029	mouse	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	unknown	activation	exp_2816
tri_0840	PAX6	CDKN2D	5080	1032	mouse	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	unknown	activation	exp_2823
